order_id,product_id,region,revenue,order_date
1,Food - Meat,Bengal,1759,2025-06-07
2,Food - Grains,Kerala,1184,2025-10-25
3,Home,Punjab,1276,2025-10-05
4,Toys,Bengal,1782,2025-09-22
5,Food - Dairy,Bengal,1578,2025-10-13
6,Food - Nuts,Rajasthan,1039,2026-03-20
7,Food - Prepared Foods,Bengal,1943,2025-08-22
8,Food - Vegetables,Punjab,1786,2025-04-24
9,Kitchen,Telangana,1526,2026-02-09
10,Food - Condiments,Kashmir,1970,2025-07-18
11,Food - Frozen Foods,Himachal Pradesh,1267,2025-05-04
12,Food - Frozen Foods,Rajasthan,1610,2026-01-01
13,Home,Bengal,1330,2025-05-09
14,Safety,Odisha,1865,2025-07-14
15,Audio,Rajasthan,1327,2025-07-15
16,Food - Cereal,Rajasthan,1561,2025-10-23
17,Food - Condiments,Kashmir,1293,2025-10-07
18,Pets,Kashmir,1650,2025-08-17
19,Food - Pasta,Gujarat,1528,2025-07-11
20,Accessories,Odisha,1387,2025-08-21
21,Food - Snacks,Kerala,1468,2026-03-30
22,Food - Seafood,Kashmir,1868,2025-12-14
23,Home,Rajasthan,1505,2026-02-17
24,Home,Rajasthan,1009,2025-10-24
25,Health,Kerala,1398,2025-07-17
26,Food - Produce,Punjab,1247,2025-05-09
27,Food - Meat,Telangana,1206,2026-01-08
28,Food - Grains,Assam,1501,2025-12-16
29,Outdoor,Gujarat,1330,2026-01-31
30,Food - Spices,Gujarat,1065,2025-06-24
31,Accessories,Gujarat,1566,2025-06-07
32,Pets,Punjab,1199,2025-09-14
33,Audio,Himachal Pradesh,1865,2026-04-06
34,Food - Dairy,Punjab,1570,2025-11-27
35,Food - Produce,Odisha,1582,2025-07-05
36,Food - Condiments,Bengal,1698,2025-12-23
37,Health,Bengal,1776,2025-04-28
38,Kitchen,Kerala,1666,2025-12-31
39,Food - Beverages,Himachal Pradesh,1573,2025-12-28
40,Outdoor,Kashmir,1623,2026-02-18
41,Home Security,Kerala,1748,2026-01-10
42,Food - Snacks,Gujarat,1835,2025-11-15
43,Food - Snacks,Odisha,1348,2025-04-29
44,Electronics,Kashmir,1840,2025-06-15
45,Food - Snacks,Himachal Pradesh,1936,2025-07-06
46,Accessories,Gujarat,1056,2026-04-02
47,Food - Beverages,Rajasthan,1224,2026-01-30
48,Outdoor,Telangana,1112,2025-05-18
49,Food - Vegetables,Bengal,1053,2026-03-14
50,Kitchen,Punjab,1164,2025-09-28
51,Food - Grains,Himachal Pradesh,1053,2025-06-16
52,Pets,Himachal Pradesh,1753,2026-01-23
53,Food - Salads,Odisha,1611,2025-09-19
54,Food - Deli Meats,Rajasthan,1122,2025-09-26
55,Home,Rajasthan,1482,2025-12-20
56,Bicycles,Bengal,1830,2026-01-17
57,Kitchen,Kashmir,1754,2025-07-27
58,Food - Snacks,Himachal Pradesh,1695,2025-06-03
59,Beauty,Kerala,1727,2026-01-14
60,Food - Nuts,Gujarat,1432,2025-11-18
61,Food - Produce,Rajasthan,1136,2025-06-22
62,Food - Breakfast Foods,Gujarat,1106,2025-11-15
63,Food - Marinades,Rajasthan,1548,2025-05-01
64,Apps,Kashmir,1724,2025-07-20
65,Food - Condiments,Rajasthan,1988,2025-12-15
66,Fitness,Telangana,1115,2025-09-29
67,Travel,Bengal,1438,2025-05-31
68,Food - Meat,Rajasthan,1567,2025-08-21
69,Food - Bakery,Punjab,1472,2025-11-08
70,Outdoor,Gujarat,1467,2026-02-18
71,Food - Beverages,Bengal,1858,2025-12-26
72,Outdoor,Odisha,1435,2025-07-13
73,Food - Bakery,Bengal,1056,2025-07-26
74,Home,Gujarat,1553,2025-09-27
75,Food - Vegetables,Assam,1135,2026-02-16
76,Food - Soups,Bengal,1760,2026-02-16
77,Smart Home,Kashmir,1977,2025-06-08
78,Clothing - Swimwear,Kerala,1841,2025-11-05
79,Food - Grocery,Kashmir,1698,2025-10-30
80,Food - Breakfast,Rajasthan,1377,2026-02-24
81,Food - Bakery,Punjab,1173,2025-12-24
82,Food - Snacks,Bengal,1684,2026-01-13
83,Food - Oils & Vinegars,Rajasthan,1931,2025-07-29
84,Smart Home,Telangana,1191,2025-11-17
85,Food - Nut Butters,Assam,1749,2025-12-02
86,Food - Health/Protein,Odisha,1569,2025-10-27
87,Tools,Kerala,1477,2025-10-23
88,Food - Snacks,Kashmir,1181,2026-03-25
89,Outdoor,Telangana,1215,2025-05-23
90,Food - Meats,Kashmir,1372,2025-04-28
91,Food - Baking,Kashmir,1183,2026-03-06
92,Food - Beverages,Gujarat,1376,2025-04-19
93,Food - Dairy Alternatives,Telangana,1514,2026-01-23
94,Food - Baking,Odisha,1400,2025-10-11
95,Food - Canned Goods,Punjab,1715,2025-12-14
96,Beauty,Gujarat,1727,2025-11-24
97,Automotive,Gujarat,1986,2025-07-20
98,Accessories,Kerala,1385,2025-06-24
99,Food - Canned Goods,Odisha,1822,2026-03-22
100,Food - Seafood,Odisha,1942,2025-12-12
